name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Infinix Hot 10i Blue ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,108763501_NP-1029365670,Not Specified,6.6 - 7 Inch,Plastic,Not Specified,Not Specified,4,Plastic,2021,Not Specified,Yes,No,Not Specified,,,,,,,,,,,,,,HD,Android,,,,,Not Specified,,,
Green Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127280471_NP-1034516048,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Oppo A57 4GB Ram 64GB Rom 5000mAh With 33W Charging Android 12 With ColorOS 12,16/05/23,True,-2%,23500.0,23100.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,117978002_NP-1032353553,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,13+2mp,3,Not Specified,2022,4G,33w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Peach Samsung Galaxy A13 ,16/05/23,False,,25499.0,25499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127284369_NP-1034493805,Not Specified,6.6 - 7 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Honor X6 ,16/05/23,True,-1%,18490.0,18290.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126934630_NP-1034521241,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,5 MP,50MP+2MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
OPPO A17K ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,127459755_NP-1034537690,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5,8,2,Glass,2023,"4G,3G,2G",No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A23 ,16/05/23,False,,25999.0,25999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123855368_NP-1033625142,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,8,50,4,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 10i 2GB RAM ,16/05/23,False,,13690.0,13690.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,111975177_NP-1030292572,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,8,13,3,Glass,2021,4G,Not Specified,No,2,,,,Yes,Yes,Nano,No,,Yes,,Rear,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123848883_NP-1033623128,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,50,2,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Vivo Y20s 4GB Ram 128GB Rom 13MP,16/05/23,True,-0.6%,25500.0,25350.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,114439921_NP-1031065725,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,13mp+2mp+2mp,4,Not Specified,Not Specified,4G,18W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Copper Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127285273_NP-1034491832,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Oppo A76 ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118955098_NP-1032572865,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,13,3,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123846458_NP-1033623144,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,50,2,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Narzo  50A Prime ,16/05/23,False,,20999.0,20999.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,126129105_NP-1034172042,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,50,3,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126328268_NP-1034228728,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,50MP,3,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Bronze SAMSUNG A04e ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127282363_NP-1034509650,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
INFINIX SMART 6 2 GB RAM 32 GB ROM,16/05/23,True,-1%,13499.0,13299.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,116559669_NP-1031888714,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 MP,8 MP,2,Not Specified,2022,"4G,3G,2G",NO,No,2,200-300 PPI,USB Type-B,Yes,Yes,Yes,Nano,No,Yes,Yes,No,,,,1080p,Android 11,No,SMART 6,Yes,IPS LCD,Helio A22,60 Hz,HD,
Bronze Samsung Galaxy A03 Core Mobile Phone ,16/05/23,False,,12499.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127278565_NP-1034512462,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,2,Glass,2021,Not Specified,Not Specified,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
